event_id,start_ts,end_ts,duration_s,phase_mix,n_points,metrics_top,max_abs_z,metrics_count,reasoning,severity,label
1,2025-11-11T19:20:14+00:00,2025-11-11T19:20:35+00:00,21.0,{'base': 4},4,mds_rss_bytes_resid:7.8:up;mkdir_latency_s_resid:6.2:up;sessions_open_resid:4.3:up;mds_reply_latency_s_resid:3.4:up;mds_journal_latency_s_resid:1.0:up;getattr_latency_s_resid:0.5:up;objecter_op_latency_s_resid:0.4:down,7.795889606834872,3,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.3991061362392205,moderate
6,2025-11-11T20:26:02+00:00,2025-11-11T20:26:34+00:00,32.0,{'stress': 5},5,mds_journal_latency_s_resid:13.0:up;getattr_latency_s_resid:3.9:up;mds_reply_latency_s_resid:3.6:up;mds_rss_bytes_resid:1.5:up;sessions_open_resid:1.0:down;mkdir_latency_s_resid:0.9:up;objecter_op_latency_s_resid:0.8:up,12.980962197041654,5,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.5504166666666667,moderate
10,2025-11-11T21:15:12+00:00,2025-11-11T21:15:43+00:00,31.0,{'stress': 7},7,mkdir_latency_s_resid:33.9:up;sessions_open_resid:5.3:up;getattr_latency_s_resid:4.6:up;mds_reply_latency_s_resid:3.4:up;mds_journal_latency_s_resid:1.4:up;mds_rss_bytes_resid:1.3:up;objecter_op_latency_s_resid:1.1:down,33.93015650567272,7,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.5845833333333333,moderate
15,2025-11-11T22:05:48+00:00,2025-11-11T22:06:29+00:00,41.0,{'stress': 8},8,mkdir_latency_s_resid:36.8:up;mds_journal_latency_s_resid:4.7:up;mds_reply_latency_s_resid:2.8:up;sessions_open_resid:1.6:down;objecter_op_latency_s_resid:1.4:up;getattr_latency_s_resid:1.0:up;mds_rss_bytes_resid:0.9:down,36.793935619959186,8,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.6366666666666667,major
16,2025-11-11T22:26:13+00:00,2025-11-11T22:26:23+00:00,10.0,{'stress': 4},4,mds_rss_bytes_resid:8.4:up;mds_journal_latency_s_resid:5.9:up;mds_reply_latency_s_resid:1.6:up;sessions_open_resid:1.2:up;objecter_op_latency_s_resid:1.2:up;mkdir_latency_s_resid:0.4:up;getattr_latency_s_resid:0.4:up,8.360849998655894,4,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.4009630832862896,moderate
18,2025-11-11T23:01:01+00:00,2025-11-11T23:01:12+00:00,11.0,{'stress': 2},2,mkdir_latency_s_resid:26.2:up;mds_reply_latency_s_resid:3.4:up;sessions_open_resid:2.2:down;mds_journal_latency_s_resid:1.9:up;mds_rss_bytes_resid:1.4:up;objecter_op_latency_s_resid:0.8:up;getattr_latency_s_resid:0.8:up,26.206248054265206,2,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.42416666666666664,moderate
19,2025-11-11T23:35:10+00:00,2025-11-11T23:35:21+00:00,11.0,{'stress': 3},3,mds_journal_latency_s_resid:7.5:up;mds_reply_latency_s_resid:3.9:up;sessions_open_resid:3.2:up;getattr_latency_s_resid:1.6:up;mds_rss_bytes_resid:1.5:down;objecter_op_latency_s_resid:0.5:up;mkdir_latency_s_resid:0.1:down,7.503335233093632,3,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.35553339982494375,moderate
31,2025-11-12T00:41:00+00:00,2025-11-12T00:41:21+00:00,21.0,{'stress': 5},5,mkdir_latency_s_resid:7.4:up;mds_journal_latency_s_resid:3.9:up;mds_reply_latency_s_resid:3.5:up;getattr_latency_s_resid:1.9:up;sessions_open_resid:1.1:down;objecter_op_latency_s_resid:0.7:up;mds_rss_bytes_resid:0.6:down,7.393112369920308,5,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.42250893294721076,moderate
34,2025-11-12T00:50:26+00:00,2025-11-12T00:51:20+00:00,54.0,{'stress': 9},9,mkdir_latency_s_resid:12.5:up;mds_journal_latency_s_resid:4.8:up;mds_reply_latency_s_resid:3.4:up;getattr_latency_s_resid:2.3:up;sessions_open_resid:1.5:up;mds_rss_bytes_resid:1.1:up;objecter_op_latency_s_resid:0.5:up,12.536284251378076,9,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.69875,major
36,2025-11-12T01:00:24+00:00,2025-11-12T01:01:06+00:00,42.0,{'stress': 7},7,mds_rss_bytes_resid:7.4:up;mkdir_latency_s_resid:5.6:up;sessions_open_resid:5.3:up;mds_reply_latency_s_resid:3.4:up;getattr_latency_s_resid:2.4:up;mds_journal_latency_s_resid:2.0:up;objecter_op_latency_s_resid:1.3:down,7.3749702913810955,6,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.5106239601983383,moderate
39,2025-11-12T01:05:59+00:00,2025-11-12T01:06:40+00:00,41.0,{'stress': 8},8,mkdir_latency_s_resid:12.6:up;getattr_latency_s_resid:6.2:up;mds_reply_latency_s_resid:3.0:up;sessions_open_resid:2.1:down;mds_journal_latency_s_resid:2.1:up;objecter_op_latency_s_resid:1.1:up;mds_rss_bytes_resid:1.1:down,12.620611077676198,8,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.6366666666666667,major
42,2025-11-12T01:15:11+00:00,2025-11-12T01:15:21+00:00,10.0,{'stress': 4},4,mds_rss_bytes_resid:8.5:up;sessions_open_resid:3.8:up;objecter_op_latency_s_resid:1.7:up;mds_journal_latency_s_resid:0.9:up;mds_reply_latency_s_resid:0.6:up;getattr_latency_s_resid:0.5:up;mkdir_latency_s_resid:0.5:up,8.470464754562679,4,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.4047995997430271,moderate
43,2025-11-12T01:30:12+00:00,2025-11-12T01:30:33+00:00,21.0,{'stress': 6},6,mds_rss_bytes_resid:9.5:up;sessions_open_resid:6.4:up;mkdir_latency_s_resid:3.9:up;objecter_op_latency_s_resid:1.1:up;mds_reply_latency_s_resid:0.7:up;mds_journal_latency_s_resid:0.4:down;getattr_latency_s_resid:0.2:down,9.544767020169552,6,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.5165668457059343,moderate
45,2025-11-12T01:40:12+00:00,2025-11-12T01:40:44+00:00,32.0,{'stress': 4},4,mds_rss_bytes_resid:10.8:up;sessions_open_resid:7.0:up;objecter_op_latency_s_resid:1.0:up;mds_reply_latency_s_resid:0.7:up;mds_journal_latency_s_resid:0.6:down;mkdir_latency_s_resid:0.3:down;getattr_latency_s_resid:0.3:down,10.78083580621749,4,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.5316666666666666,moderate
48,2025-11-12T02:00:19+00:00,2025-11-12T02:00:50+00:00,31.0,{'stress': 3},3,sessions_open_resid:6.8:up;mds_rss_bytes_resid:4.2:up;mds_reply_latency_s_resid:3.3:up;getattr_latency_s_resid:0.9:up;mds_journal_latency_s_resid:0.7:up;objecter_op_latency_s_resid:0.5:down;mkdir_latency_s_resid:0.2:down,6.8008409569018395,3,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.3976127668248977,moderate
49,2025-11-12T02:05:20+00:00,2025-11-12T02:05:40+00:00,20.0,{'stress': 3},3,mds_rss_bytes_resid:10.4:up;sessions_open_resid:4.4:up;getattr_latency_s_resid:1.5:down;objecter_op_latency_s_resid:1.4:up;mkdir_latency_s_resid:1.3:up;mds_journal_latency_s_resid:1.0:down;mds_reply_latency_s_resid:0.8:up,10.401285518320336,3,widespread latency elevation vs baseline; resource pressure (memory/sessions),0.47291666666666665,moderate
